Cremant ouvert au service, jour par jour - exercice 2022-2023
Source : ANNEXE-C, detail des tickets. Doses retenues par le service (reponse du 04/09/2026, p. 62) : cocktails 6 cl, verre 12 cl. Bouteille = 75 cl. Une bouteille de cremant ouverte n'est pas reservable au lendemain : le solde du soir est perdu.

Date;Cremant vendu (cl, doses carte);Verse a +0,0 % (cl);Bouteilles ouvertes +0,0 %;Jete le soir +0,0 % (cl);Verse a +2,5 % (cl);Bouteilles ouvertes +2,5 %;Jete le soir +2,5 % (cl);Verse a +5,0 % (cl);Bouteilles ouvertes +5,0 %;Jete le soir +5,0 % (cl);Verse a +7,5 % (cl);Bouteilles ouvertes +7,5 %;Jete le soir +7,5 % (cl);Verse a +10,0 % (cl);Bouteilles ouvertes +10,0 %;Jete le soir +10,0 % (cl);Verse a +12,5 % (cl);Bouteilles ouvertes +12,5 %;Jete le soir +12,5 % (cl);Verse a +15,0 % (cl);Bouteilles ouvertes +15,0 %;Jete le soir +15,0 % (cl);Verse a +17,5 % (cl);Bouteilles ouvertes +17,5 %;Jete le soir +17,5 % (cl);Verse a +20,0 % (cl);Bouteilles ouvertes +20,0 %;Jete le soir +20,0 % (cl);Verse a +23,6 % (cl);Bouteilles ouvertes +23,6 %;Jete le soir +23,6 % (cl)
2022-06-06;12,0;12,0;1;63,0;12,3;1;62,7;12,6;1;62,4;12,9;1;62,1;13,2;1;61,8;13,5;1;61,5;13,8;1;61,2;14,1;1;60,9;14,4;1;60,6;14,8;1;60,2
2022-06-08;36,0;36,0;1;39,0;36,9;1;38,1;37,8;1;37,2;38,7;1;36,3;39,6;1;35,4;40,5;1;34,5;41,4;1;33,6;42,3;1;32,7;43,2;1;31,8;44,5;1;30,5
2022-06-09;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2022-06-10;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-06-11;84,0;84,0;2;66,0;86,1;2;63,9;88,2;2;61,8;90,3;2;59,7;92,4;2;57,6;94,5;2;55,5;96,6;2;53,4;98,7;2;51,3;100,8;2;49,2;103,8;2;46,2
2022-06-12;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-06-15;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-06-16;24,0;24,0;1;51,0;24,6;1;50,4;25,2;1;49,8;25,8;1;49,2;26,4;1;48,6;27,0;1;48,0;27,6;1;47,4;28,2;1;46,8;28,8;1;46,2;29,7;1;45,3
2022-06-17;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2022-06-18;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-06-19;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2022-06-22;78,0;78,0;2;72,0;79,9;2;70,1;81,9;2;68,1;83,8;2;66,2;85,8;2;64,2;87,8;2;62,2;89,7;2;60,3;91,7;2;58,3;93,6;2;56,4;96,4;2;53,6
2022-06-23;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-06-24;90,0;90,0;2;60,0;92,2;2;57,8;94,5;2;55,5;96,8;2;53,2;99,0;2;51,0;101,2;2;48,8;103,5;2;46,5;105,8;2;44,2;108,0;2;42,0;111,2;2;38,8
2022-06-25;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-06-26;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-06-29;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
2022-06-30;24,0;24,0;1;51,0;24,6;1;50,4;25,2;1;49,8;25,8;1;49,2;26,4;1;48,6;27,0;1;48,0;27,6;1;47,4;28,2;1;46,8;28,8;1;46,2;29,7;1;45,3
2022-07-01;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2022-07-02;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-07-03;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-07-06;93,0;93,0;2;57,0;95,3;2;54,7;97,7;2;52,3;100,0;2;50,0;102,3;2;47,7;104,6;2;45,4;106,9;2;43,1;109,3;2;40,7;111,6;2;38,4;114,9;2;35,1
2022-07-07;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
2022-07-08;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-07-09;108,0;108,0;2;42,0;110,7;2;39,3;113,4;2;36,6;116,1;2;33,9;118,8;2;31,2;121,5;2;28,5;124,2;2;25,8;126,9;2;23,1;129,6;2;20,4;133,5;2;16,5
2022-07-10;120,0;120,0;2;30,0;123,0;2;27,0;126,0;2;24,0;129,0;2;21,0;132,0;2;18,0;135,0;2;15,0;138,0;2;12,0;141,0;2;9,0;144,0;2;6,0;148,3;2;1,7
2022-07-12;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2022-07-13;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-07-14;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-07-15;96,0;96,0;2;54,0;98,4;2;51,6;100,8;2;49,2;103,2;2;46,8;105,6;2;44,4;108,0;2;42,0;110,4;2;39,6;112,8;2;37,2;115,2;2;34,8;118,7;2;31,3
2022-07-16;102,0;102,0;2;48,0;104,5;2;45,5;107,1;2;42,9;109,6;2;40,4;112,2;2;37,8;114,8;2;35,2;117,3;2;32,7;119,9;2;30,1;122,4;2;27,6;126,1;2;23,9
2022-07-17;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
2022-07-19;18,0;18,0;1;57,0;18,4;1;56,5;18,9;1;56,1;19,3;1;55,7;19,8;1;55,2;20,2;1;54,8;20,7;1;54,3;21,2;1;53,8;21,6;1;53,4;22,2;1;52,8
2022-07-20;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-07-21;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-07-22;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2022-07-23;150,0;150,0;2;0,0;153,8;3;71,2;157,5;3;67,5;161,2;3;63,8;165,0;3;60,0;168,8;3;56,2;172,5;3;52,5;176,2;3;48,8;180,0;3;45,0;185,4;3;39,6
2022-07-24;90,0;90,0;2;60,0;92,2;2;57,8;94,5;2;55,5;96,8;2;53,2;99,0;2;51,0;101,2;2;48,8;103,5;2;46,5;105,8;2;44,2;108,0;2;42,0;111,2;2;38,8
2022-07-26;96,0;96,0;2;54,0;98,4;2;51,6;100,8;2;49,2;103,2;2;46,8;105,6;2;44,4;108,0;2;42,0;110,4;2;39,6;112,8;2;37,2;115,2;2;34,8;118,7;2;31,3
2022-07-27;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2022-07-28;102,0;102,0;2;48,0;104,5;2;45,5;107,1;2;42,9;109,6;2;40,4;112,2;2;37,8;114,8;2;35,2;117,3;2;32,7;119,9;2;30,1;122,4;2;27,6;126,1;2;23,9
2022-07-29;84,0;84,0;2;66,0;86,1;2;63,9;88,2;2;61,8;90,3;2;59,7;92,4;2;57,6;94,5;2;55,5;96,6;2;53,4;98,7;2;51,3;100,8;2;49,2;103,8;2;46,2
2022-07-30;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-07-31;108,0;108,0;2;42,0;110,7;2;39,3;113,4;2;36,6;116,1;2;33,9;118,8;2;31,2;121,5;2;28,5;124,2;2;25,8;126,9;2;23,1;129,6;2;20,4;133,5;2;16,5
2022-08-02;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2022-08-03;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
2022-08-04;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-08-05;84,0;84,0;2;66,0;86,1;2;63,9;88,2;2;61,8;90,3;2;59,7;92,4;2;57,6;94,5;2;55,5;96,6;2;53,4;98,7;2;51,3;100,8;2;49,2;103,8;2;46,2
2022-08-06;96,0;96,0;2;54,0;98,4;2;51,6;100,8;2;49,2;103,2;2;46,8;105,6;2;44,4;108,0;2;42,0;110,4;2;39,6;112,8;2;37,2;115,2;2;34,8;118,7;2;31,3
2022-08-07;120,0;120,0;2;30,0;123,0;2;27,0;126,0;2;24,0;129,0;2;21,0;132,0;2;18,0;135,0;2;15,0;138,0;2;12,0;141,0;2;9,0;144,0;2;6,0;148,3;2;1,7
2022-08-09;24,0;24,0;1;51,0;24,6;1;50,4;25,2;1;49,8;25,8;1;49,2;26,4;1;48,6;27,0;1;48,0;27,6;1;47,4;28,2;1;46,8;28,8;1;46,2;29,7;1;45,3
2022-08-10;126,0;126,0;2;24,0;129,1;2;20,9;132,3;2;17,7;135,4;2;14,6;138,6;2;11,4;141,8;2;8,2;144,9;2;5,1;148,1;2;1,9;151,2;3;73,8;155,7;3;69,3
2022-08-11;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2022-08-12;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2022-08-13;24,0;24,0;1;51,0;24,6;1;50,4;25,2;1;49,8;25,8;1;49,2;26,4;1;48,6;27,0;1;48,0;27,6;1;47,4;28,2;1;46,8;28,8;1;46,2;29,7;1;45,3
2022-08-14;114,0;114,0;2;36,0;116,8;2;33,2;119,7;2;30,3;122,5;2;27,5;125,4;2;24,6;128,2;2;21,8;131,1;2;18,9;134,0;2;16,0;136,8;2;13,2;140,9;2;9,1
2022-08-16;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-08-17;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2022-08-18;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-08-19;144,0;144,0;2;6,0;147,6;2;2,4;151,2;3;73,8;154,8;3;70,2;158,4;3;66,6;162,0;3;63,0;165,6;3;59,4;169,2;3;55,8;172,8;3;52,2;178,0;3;47,0
2022-08-20;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2022-08-21;108,0;108,0;2;42,0;110,7;2;39,3;113,4;2;36,6;116,1;2;33,9;118,8;2;31,2;121,5;2;28,5;124,2;2;25,8;126,9;2;23,1;129,6;2;20,4;133,5;2;16,5
2022-08-24;12,0;12,0;1;63,0;12,3;1;62,7;12,6;1;62,4;12,9;1;62,1;13,2;1;61,8;13,5;1;61,5;13,8;1;61,2;14,1;1;60,9;14,4;1;60,6;14,8;1;60,2
2022-08-25;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2022-08-26;48,0;48,0;1;27,0;49,2;1;25,8;50,4;1;24,6;51,6;1;23,4;52,8;1;22,2;54,0;1;21,0;55,2;1;19,8;56,4;1;18,6;57,6;1;17,4;59,3;1;15,7
2022-08-27;96,0;96,0;2;54,0;98,4;2;51,6;100,8;2;49,2;103,2;2;46,8;105,6;2;44,4;108,0;2;42,0;110,4;2;39,6;112,8;2;37,2;115,2;2;34,8;118,7;2;31,3
2022-08-28;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2022-08-30;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-08-31;90,0;90,0;2;60,0;92,2;2;57,8;94,5;2;55,5;96,8;2;53,2;99,0;2;51,0;101,2;2;48,8;103,5;2;46,5;105,8;2;44,2;108,0;2;42,0;111,2;2;38,8
2022-09-01;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-09-02;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-09-03;96,0;96,0;2;54,0;98,4;2;51,6;100,8;2;49,2;103,2;2;46,8;105,6;2;44,4;108,0;2;42,0;110,4;2;39,6;112,8;2;37,2;115,2;2;34,8;118,7;2;31,3
2022-09-04;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-09-07;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2022-09-08;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
